Iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_means
1,19.0,19.0,19.0,30.323076923076922
2,19.0,19.0,19.0,30.4
3,19.0,19.0,19.0,30.86
4,19.0,19.0,19.0,32.79
5,19.0,19.0,19.0,35.13
6,19.0,19.0,19.0,33.79
7,19.0,19.0,19.0,30.23
8,19.0,19.0,19.0,30.15
9,19.0,19.0,19.0,27.53
10,19.0,19.0,19.0,27.36
11,19.0,19.0,19.0,28.79
12,19.0,19.0,19.0,28.74
13,19.0,19.0,19.0,29.8
14,19.0,19.0,19.0,30.49
15,19.0,19.0,19.0,34.64
16,18.98,18.0,19.0,40.59
17,18.97,18.0,19.0,42.91
18,18.99,18.0,19.0,40.79
19,19.0,19.0,19.0,39.7
20,18.91,10.0,19.0,42.39
21,18.9,10.0,19.0,46.39
22,18.98,18.0,19.0,47.1
23,18.97,18.0,19.0,45.48
24,18.97,18.0,19.0,42.11
25,19.0,19.0,19.0,37.91
26,19.0,19.0,19.0,34.93
27,19.0,19.0,19.0,33.9
28,19.0,19.0,19.0,32.81
29,19.0,19.0,19.0,30.21
30,19.0,19.0,19.0,26.49
31,19.0,19.0,19.0,25.4
