iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,18.91176470588235,18.0,19.0,59.8235294117647,34,33085.045318603516,0.07124031361890956,66169.94814453126,0.004572671959607338
2,18.72,18.0,19.0,81.72,25,23006.424282836913,-6.871065124869346e-07,46012.84853515625,0.0019015094225166569
3,18.954545454545453,18.0,19.0,89.4090909090909,22,17174.88974609375,-0.0703055966325337,34349.92008056641,0.0014031994615869817
4,19.0,19.0,19.0,41.16326530612245,49,18853.20609436035,8.629285730421543e-09,37706.4121887207,1.0507592676688415e-15
5,18.93617021276596,18.0,19.0,43.04255319148936,47,13346.418823242188,-4.336427082307637e-06,26692.837603759766,0.0011803592082311875
6,18.958333333333332,18.0,19.0,42.104166666666664,48,11375.174282836913,-1.2391270138323307e-05,22750.348571777344,0.0008918819967082376
7,18.958333333333332,18.0,19.0,42.3125,48,8747.813018798828,-3.7448364309966566e-06,17495.62608947754,0.0008166507363270416
8,18.958333333333332,18.0,19.0,42.041666666666664,48,5765.464529418945,3.6795390769839285e-07,11530.929055786133,0.0006767482314492256
9,18.612244897959183,0.0,19.0,41.12244897959184,49,4460.682452392578,-9.858922567218542e-08,8921.36491241455,1.5956180659295033e-05
10,18.6,0.0,19.0,40.48,50,4523.135277557373,-2.9756047297269106e-06,9046.270553588867,0.0008318379351454101
11,19.0,19.0,19.0,41.895833333333336,48,3764.2738594055177,3.4207187127321956e-08,7528.5477294921875,0.00033839955214408373
12,18.958333333333332,18.0,19.0,42.583333333333336,48,3274.12261428833,-8.663555199746042e-05,6548.245393371582,0.0011485307769472058
13,19.0,19.0,19.0,41.142857142857146,49,1406.9274768829346,-2.5762710720300676e-08,2813.854955291748,6.045374516820693e-14
14,18.979166666666668,18.0,19.0,42.3125,48,1220.7588056564332,-3.665350959636271e-07,2441.5176277160645,0.0006843559156602463
15,18.9375,18.0,19.0,42.479166666666664,48,799.0440791130065,0.00017402786324964835,1598.087851524353,0.001923444694296901
16,18.97872340425532,18.0,19.0,42.808510638297875,47,507.14267978668215,-0.0001061865157680586,1014.2855987548828,0.0010658660550454517
17,18.979166666666668,18.0,19.0,42.583333333333336,48,401.86987085342406,-7.872979040257632e-07,803.7397511482238,0.0003449508774328939
18,18.93617021276596,18.0,19.0,43.57446808510638,47,508.45581851005556,0.03103245751117356,1016.8496370315552,0.003280665337089304
19,18.93617021276596,18.0,19.0,43.297872340425535,47,524.0270300865174,0.002756432432215661,1048.0485912322997,0.0022466731528789164
20,18.934782608695652,18.0,19.0,44.391304347826086,46,542.6392570972442,-7.748109055683017e-07,1085.27853808403,0.0010161895805757765
21,18.9375,18.0,19.0,42.145833333333336,48,471.1606966137886,-1.2354081263765694e-06,942.3214164972305,0.001016279118693624
22,18.979591836734695,18.0,19.0,41.08163265306123,49,49.98856984376907,-8.786650141701102e-07,99.97714797258377,0.0003393766965197429
23,18.98,18.0,19.0,40.68,50,172.5667913019657,-1.2174899893580004e-06,345.13359262943266,0.00037115019321623397
24,18.979166666666668,18.0,19.0,42.1875,48,115.57569495886564,3.557252057362348e-07,231.15139590203762,0.0003394621571754997
25,18.9375,18.0,19.0,42.5,48,198.11288087219,-1.063414674717933e-06,396.2257845044136,0.0010163914195349647
26,19.0,19.0,19.0,42.104166666666664,48,109.22211742550135,-7.085051038302481e-07,218.44424349963666,0.00033851267297576167
