Iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_means
1,nan,nan,nan,nan
2,nan,nan,nan,nan
3,nan,nan,nan,nan
4,nan,nan,nan,nan
5,nan,nan,nan,nan
6,nan,nan,nan,nan
7,nan,nan,nan,nan
8,nan,nan,nan,nan
9,nan,nan,nan,nan
10,nan,nan,nan,nan
11,nan,nan,nan,nan
12,nan,nan,nan,nan
13,2.0038106853426405,0.0,6.738164234768371,39.84
14,2.0038106853426405,0.0,6.738164234768371,39.84
15,2.0038106853426405,0.0,6.738164234768371,39.84
16,2.0038106853426405,0.0,6.738164234768371,39.84
17,2.0038106853426405,0.0,6.738164234768371,39.84
18,2.0038106853426405,0.0,6.738164234768371,39.84
19,2.0038106853426405,0.0,6.738164234768371,39.84
20,2.0038106853426405,0.0,6.738164234768371,39.84
21,2.0038106853426405,0.0,6.738164234768371,39.84
22,2.0038106853426405,0.0,6.738164234768371,39.84
23,2.0038106853426405,0.0,6.738164234768371,39.84
24,2.0038106853426405,0.0,6.738164234768371,39.84
25,2.0038106853426405,0.0,6.738164234768371,39.84
